Threads;Speedup;Time
1;0.5;2838
1;1.0;1000000
2;0.5;2211
2;1.0;7127
2;1.5;21846
2;2.0;1000000
3;0.5;2301
3;1.0;5784
3;1.5;10145
3;2.0;19666
3;2.5;50885
3;3.0;1000000
4;0.5;3106
4;1.0;6405
4;1.5;9558
4;2.0;14685
4;2.5;22872
4;3.0;49616
4;3.5;216323
5;0.5;3925
5;1.0;8490
5;1.5;12544
5;2.0;16467
5;2.5;22284
5;3.0;33095
5;3.5;59149
5;4.0;157612
5;4.5;964616
6;0.5;5743
6;1.0;12197
6;1.5;16185
6;2.0;20147
6;2.5;26918
6;3.0;36374
6;3.5;50134
6;4.0;129749
6;4.5;250908
6;5.0;981497
7;0.5;7829
7;1.0;15748
7;1.5;20614
7;2.0;26309
7;2.5;32920
7;3.0;42168
7;3.5;63460
7;4.0;118773
7;4.5;370255
7;5.0;952881
8;0.5;10191
8;1.0;18101
8;1.5;25088
8;2.0;30687
8;2.5;39869
8;3.0;48602
8;3.5;62455
8;4.0;100851
8;4.5;354493
8;5.0;1000000
9;0.5;10133
9;1.0;20111
9;1.5;28279
9;2.0;36558
9;2.5;44955
9;3.0;58475
9;3.5;81923
9;4.0;312310
9;4.5;940893
10;0.5;12949
10;1.0;22503
10;1.5;31322
10;2.0;41572
10;2.5;51646
10;3.0;65560
10;3.5;102475
10;4.0;321692
10;4.5;967710
11;0.5;13499
11;1.0;24367
11;1.5;33803
11;2.0;43567
11;2.5;56144
11;3.0;73373
11;3.5;123732
11;4.0;596273
12;0.5;15194
12;1.0;26436
12;1.5;36210
12;2.0;46532
12;2.5;61795
12;3.0;80260
12;3.5;115151
12;4.0;830030
12;4.5;999999
13;0.5;15382
13;1.0;30678
13;1.5;41633
13;2.0;53653
13;2.5;69581
13;3.0;87045
13;3.5;121234
13;4.0;572121
13;4.5;1000000
14;0.5;19588
14;1.0;35671
14;1.5;47234
14;2.0;60729
14;2.5;75943
14;3.0;94613
14;3.5;138439
14;4.0;806185
15;0.5;21285
15;1.0;39379
15;1.5;53260
15;2.0;66856
15;2.5;81163
15;3.0;101298
15;3.5;141640
15;4.0;500841
15;4.5;996351
16;0.5;22825
16;1.0;43477
16;1.5;58307
16;2.0;70458
16;2.5;88441
16;3.0;107610
16;3.5;144500
16;4.0;546778
16;4.5;989890
17;0.5;24425
17;1.0;46780
17;1.5;61099
17;2.0;77220
17;2.5;92938
17;3.0;110932
17;3.5;147018
17;4.0;490719
17;4.5;1000000
18;0.5;29366
18;1.0;50172
18;1.5;68517
18;2.0;80771
18;2.5;99886
18;3.0;117830
18;3.5;144777
18;4.0;493380
19;0.5;27567
19;1.0;56052
19;1.5;72362
19;2.0;86800
19;2.5;101388
19;3.0;123242
19;3.5;154447
19;4.0;569412
19;4.5;1000000
20;0.5;33071
20;1.0;61181
20;1.5;76739
20;2.0;91336
20;2.5;110367
20;3.0;126217
20;3.5;151738
20;4.0;590330
21;0.5;35293
21;1.0;64710
21;1.5;79792
21;2.0;95655
21;2.5;111571
21;3.0;130538
21;3.5;151575
21;4.0;520973
21;4.5;1000000
22;0.5;32993
22;1.0;67497
22;1.5;85087
22;2.0;103055
22;2.5;118654
22;3.0;134817
22;3.5;158793
22;4.0;568578
23;0.5;40896
23;1.0;68063
23;1.5;92052
23;2.0;107346
23;2.5;122347
23;3.0;140902
23;3.5;163068
23;4.0;460519
23;4.5;1000000
24;0.5;42405
24;1.0;74653
24;1.5;92126
24;2.0;109701
24;2.5;126631
24;3.0;145811
24;3.5;169217
24;4.0;554511
24;4.5;1000000
