Threads;Speedup;Time
1;0.5;2811
1;1.0;1000000
2;0.5;2225
2;1.0;7367
2;1.5;22324
2;2.0;1000000
3;0.5;2210
3;1.0;5396
3;1.5;10159
3;2.0;18265
3;2.5;49006
3;3.0;1000000
4;0.5;3140
4;1.0;6502
4;1.5;9110
4;2.0;13870
4;2.5;22420
4;3.0;41352
4;3.5;144829
4;4.0;1000000
5;0.5;3986
5;1.0;8648
5;1.5;12466
5;2.0;16882
5;2.5;23173
5;3.0;30587
5;3.5;53256
5;4.0;138220
5;4.5;574862
6;0.5;5886
6;1.0;12703
6;1.5;16227
6;2.0;20409
6;2.5;28641
6;3.0;35111
6;3.5;46259
6;4.0;77159
6;4.5;174626
6;5.0;989920
7;0.5;8136
7;1.0;15240
7;1.5;20561
7;2.0;26884
7;2.5;33116
7;3.0;38216
7;3.5;46558
7;4.0;80388
7;4.5;194545
7;5.0;553284
8;0.5;9249
8;1.0;18673
8;1.5;26462
8;2.0;32905
8;2.5;39148
8;3.0;46567
8;3.5;60675
8;4.0;97545
8;4.5;142595
8;5.0;560985
8;5.5;998348
9;0.5;10395
9;1.0;21436
9;1.5;31045
9;2.0;37505
9;2.5;47188
9;3.0;54469
9;3.5;71211
9;4.0;100744
9;4.5;350605
9;5.0;931690
9;5.5;999987
10;0.5;13500
10;1.0;23484
10;1.5;32971
10;2.0;42244
10;2.5;53650
10;3.0;71091
10;3.5;88428
10;4.0;310867
10;4.5;591858
11;0.5;14600
11;1.0;25195
11;1.5;36285
11;2.0;45822
11;2.5;58274
11;3.0;72013
11;3.5;91663
11;4.0;291484
11;4.5;897308
12;0.5;13395
12;1.0;28238
12;1.5;38876
12;2.0;50182
12;2.5;61426
12;3.0;81452
12;3.5;132167
12;4.0;433504
12;4.5;977138
13;0.5;18886
13;1.0;32350
13;1.5;43072
13;2.0;56311
13;2.5;73479
13;3.0;93377
13;3.5;131288
13;4.0;385642
13;4.5;973286
14;0.5;20980
14;1.0;37529
14;1.5;49497
14;2.0;62239
14;2.5;81468
14;3.0;101899
14;3.5;140858
14;4.0;342437
14;4.5;1000000
15;0.5;23055
15;1.0;40937
15;1.5;55324
15;2.0;69686
15;2.5;84344
15;3.0;104659
15;3.5;134586
15;4.0;388291
16;0.5;24269
16;1.0;44104
16;1.5;59278
16;2.0;73520
16;2.5;89645
16;3.0;110575
16;3.5;150952
16;4.0;465645
17;0.5;25738
17;1.0;51321
17;1.5;64724
17;2.0;77869
17;2.5;97104
17;3.0;114640
17;3.5;141767
17;4.0;385893
18;0.5;27144
18;1.0;54078
18;1.5;71527
18;2.0;85637
18;2.5;99561
18;3.0;121458
18;3.5;155038
18;4.0;436422
18;4.5;986851
19;0.5;28297
19;1.0;58109
19;1.5;73255
19;2.0;88876
19;2.5;106446
19;3.0;126402
19;3.5;159788
19;4.0;415960
19;4.5;974226
20;0.5;34505
20;1.0;60668
20;1.5;79029
20;2.0;94576
20;2.5;111843
20;3.0;131009
20;3.5;152003
20;4.0;404860
20;4.5;939521
21;0.5;36044
21;1.0;62698
21;1.5;83620
21;2.0;100926
21;2.5;119332
21;3.0;138051
21;3.5;160165
21;4.0;433342
21;4.5;999811
22;0.5;38395
22;1.0;70484
22;1.5;89486
22;2.0;104037
22;2.5;123455
22;3.0;140625
22;3.5;166345
22;4.0;253737
22;4.5;879681
23;0.5;40222
23;1.0;69401
23;1.5;92305
23;2.0;112588
23;2.5;127884
23;3.0;146926
23;3.5;169627
23;4.0;419537
23;4.5;880698
24;0.5;38408
24;1.0;75154
24;1.5;98318
24;2.0;116255
24;2.5;133665
24;3.0;150741
24;3.5;171189
24;4.0;415551
24;4.5;991923
